            id                       fullName
6        14856                  Isaako Aaitui
7      3058033                     Manny Abad
8        16836               Jared Abbrederis
9      2576467                 Mehdi Abdesmad
10       14466               Isa Abdul-Quddus
11     2576336                 Ameer Abdullah
12        8645                 Hamza Abdullah
13       11910                Husain Abdullah
14        4594                Khalid Abdullah
15     3049325                Khalid Abdullah
16        1703                 Rabih Abdullah
17        1797                 Rahim Abdullah
18     3998258                 Rahim Abdullah
19     3915373                Micah Abernathy
20       10501                Victor Abiamiri
21       15972                   Oday Aboushi
22        7903                Clifton Abraham
23        1027                 Donnie Abraham
24        2144                   John Abraham
25       17100                     Chad Abram
26     3728305                Johnathan Abram
27     4569234                  Keshunn Abram
28        7177                   Bobby Abrams
29     4360643                 Delrick Abrams
30        1201                   Kevin Abrams
31       15045                  Emmanuel Acho
32       14152                       Sam Acho
33     3998259                  D.D. Acholonu
34       16914                  Kenneth Acker
35        1028                   Tom Ackerman
36     3121616                  Jaelon Acklin
37     2515713                   Corey Acosta
38     4035103                   DeMarkus Acy
39       16296                    Aaron Adams
40     2576599                   Andrew Adams
41        4515                  Anthony Adams
42        4678                     Blue Adams
43        4447                  Charlie Adams
44       14759                   Darvin Adams
45       16800                  Davante Adams
46       16961                       DJ Adams
47     3916468                     Evan Adams
48        1469                  Flozell Adams
49       10449                   Gaines Adams
50       16677                    Harry Adams
51     4077981                   Haston Adams
52     2971567                  Ishmael Adams
53     3115373                    Jamal Adams
54       11911                    Jamar Adams
55       15368                     Jeff Adams
56     2978727                   Jerell Adams
57       14917                      Joe Adams
58       16489                   Johnny Adams
59     4241053                 Jonathan Adams
60     3932420                     Josh Adams
61     3042773                    Keion Adams
62        2781                    Keith Adams
63       15394                 Kendrick Adams
64       14319                     Kris Adams
65       14217                     Kyle Adams
66     3126179                  Matthew Adams
67       10847                  Michael Adams
68        5893                     Mike Adams
69        8133                     Mike Adams
70     3051894               Montravius Adams
71     4039164                    Myles Adams
72     2971402                   Nelson Adams
73     3122099                     Paul Adams
74       13308                  Phillip Adams
75     3059918                   Rodney Adams
76       14863                    Royce Adams
77         601                      Sam Adams
78        7353                    Scott Adams
79        9806                    Titus Adams
80     3116734                     Tony Adams
81     4240532                     Tony Adams
82     3886808                     Trey Adams
83     3895228                   Tyrell Adams
84         916                  Vashone Adams
85     4261019                     Will Adams
86       15382                    Levy Adcock
87       16039                  Jahleel Addae
88        9616                   Joseph Addai
89     3912028                 Nasir Adderley
90     4034729               Tucker Addington
91     2971271                 Bralon Addison
92       14320                  Mario Addison
93     4242547                  Paulson Adebo
94     3051869               Quincy Adeboyejo
95     4046557                 Hakeem Adeniji
96     3126081                    Ola Adeniyi
97     2579634                   Aaron Adeoye
98     3910148                   Aaron Adeoye
99     3912029                  Tenny Adewusi
100       9699                Victor Adeyanju
101    2576600                 Kenton Adeyemi
102      11352                   Xavier Adibi
103    2515836             Jude Adjei-Barimah
104      12628                 Spencer Adkins
105       6091                 James Adkisson
106    4240719                   Cal Adomitis
107    4031226                Graham Adomitis
108      16632                  Daniel Adongo
109      12629                     Al Afalava
110    3119152                Patrick Afriyie
111    4243241                 Jordan Agasiva
112       7006                       Mel Agee
113       6503                    Tommie Agee
114    4002647                    Tanner Agen
115    2971618                 Nelson Agholor
116    4035566                  McTelvin Agim
117    3061612                    Jamal Agnew
118        227                      Ray Agnew
119      17101                      Ray Agnew
120    2470733                     Theo Agnew
121      14558                    Vince Agnew
122    2978887                 Roberto Aguayo
123    2982809                Carlton Agudosi
124        228                   Louis Aguiar
125      15184                  Devin Aguilar
126      10682                    C.J. Ah You
127        426                  Chidi Ahanotu
128    4266790                    Ramiz Ahmed
129    4243315                   Salvon Ahmed
130    2976262                  Shahbaz Ahmed
131    3915134                   Brady Aiello
132      14581                    Danny Aiken
133      14583                    Kamar Aiken
134       4585                      Sam Aiken
135      16819                    Walt Aikens
136         53                    Troy Aikman
137      15392                    James Aiono
138    3672841            Babatunde Aiyegbusi
139      14672                  Victor Aiyewa
140    4360438                  Brandon Aiyuk
141    2573300                      Jay Ajayi
142    4246885                  Solomon Ajayi
143      13524                 Seyi Ajirotutu
144       2712                    Hakim Akbar
145    4240021                      Cam Akers
146       1716                    David Akers
147    4035554                   Landen Akers
148    4035835                 Alex Akingbulu
149    3116082            Freedom Akinmoladun
150      16316                     C.J. Akins
151       1965                    Chris Akins
152    3139626                   Curtis Akins
153    3128452                   Jordan Akins
154      15626                    Elvis Akpla
155    2574087                   Derek Akunne
156        946          Abdul-Karim al-Jabbar
157    3919117                Azeez Al-Shaair
158      17308                 Josh Aladenoye
159    3122141                    Otaro Alaka
160      10502           Ikaika Alama-Francis
161    4686629                  Isaac Alarcon
162      11249                 Branden Albert
163    3938599                 Branden Albert
164       7604           Trev Kendall Alberts
165    2971823                Austin Albrecht
166      14628                  Alex Albright
167    2978064                Bryson Albright
168    4244712             Christian Albright
169        869                 Ethan Albright
170      10140                     Zac Alcorn
171        582                 Allen Aldridge
172       4345                 Kevin Aldridge
173       7592          Melvin Keith Aldridge
174       7709              Arnold Tauese Ale
175       1406                     Ink Aleaga
176      15353                   Chas Alecxih
177    3871875               Adonis Alexander
178      15552             Alvester Alexander
179        717                Brent Alexander
180       6852                Bruce Alexander
181    3001171                 D.J. Alexander
182      13935              Danario Alexander
183       6833                David Alexander
184    4055563              Deontez Alexander
185        567              Derrick Alexander
186        759           Derrick L. Alexander
187    3052651            Dominique Alexander
188        346               Elijah Alexander
189       6156                 Eric Alexander
190      15010                Frank Alexander
191      10505               Gerald Alexander
192       7452               Harold Alexander
193    3895429                Jaire Alexander
194    4372495               Jaylan Alexander
195    4569109                  Jon Alexander
196       8104                Kevin Alexander
197      13798                Kevin Alexander
198    2976541                 Kwon Alexander
199       9424              Lorenzo Alexander
200    3045120            Mackensie Alexander
201      16937              Maurice Alexander
202    3914307              Maurice Alexander
203      14534               Mister Alexander
204       8074              Patrise Alexander
205       5846                  Roc Alexander
206       2150                Shaun Alexander
207       1478              Stephen Alexander
208    3117241             Terrence Alexander
209    2976556                Vadal Alexander
210    4263210               Justin Alexandre
211       6300                    Rich Alexis
212    3117242                   Joey Alfieri
213       1625                   Brian Alford
214    4401823                     Dee Alford
215      14734                 Dominic Alford
216      10525                     Jay Alford
217    3052686                   Mario Alford
218      15817                  Robert Alford
219      10967                    Charles Ali
220    4259976                       Josh Ali
221    2469470                 Ricky Ali'ifua
222    2998565                    Mo Alie-Cox
223       7752                Tuineau Alipate
224      15601                    Shea Allard
225    3115922                Nick Allegretti
226      10532                   Andy Alleman
227      14212                  Anthony Allen
228      15061                  Antonio Allen
229      14358                  Armando Allen
230      12630                    Asher Allen
231    3046412                   Austin Allen
232    4240787                   Austin Allen
233      16912                     Beau Allen
234    2574511                  Brandon Allen
235       2631                    Brian Allen
236       3781                    Brian Allen
237    2971632                    Brian Allen
238    3134666                    Brian Allen
239    2975680                    Chase Allen
240    4035526                    Chase Allen
241    4241446              Christopher Allen
242      14109                   Cortez Allen
243    3139453                   Dakota Allen
244    3059554                   Darius Allen
245       4760                    David Allen
246    2582033                  Davonte Allen
247    3046392                    Dejon Allen
248      17370                  Denicos Allen
249    3052083                    Devon Allen
250      14901                   Dwayne Allen
251        107                     Eric Allen
252    3920560                    Floyd Allen
253       4368                      Ian Allen
254    2576254                     Jack Allen
255      11734                     Jake Allen
256       1420                    James Allen
257       3610                    James Allen
258       5651                    Jared Allen
259       9602                    Jason Allen
260    2577253                 Javorius Allen
261      14990                     Jeff Allen
262    3054840                 Jonathan Allen
263      17102                     Josh Allen
264    3915239                     Josh Allen
265    3918298                     Josh Allen
266    3916334                   Julian Allen
267      15818                   Keenan Allen
268       4761                Kenderick Allen
269    3045226                    Kenny Allen
270    3115293                     Kyle Allen
271        609                    Larry Allen
272    4573313                    Larry Allen
273       6465                   Marcus Allen
274    3116149                   Marcus Allen
275       4300                     Matt Allen
276      13257                     Nate Allen
277      14219                   Pierre Allen
278    3933340                    Randy Allen
279      17423                  RaShaun Allen
280      16882                  Ricardo Allen
281      12754                    Roger Allen
282      12755                  Russell Allen
283      16382                     Ryan Allen
284       1345                     Taje Allen
285         77                    Terry Allen
286      16962                 Torrence Allen
287    2586895                    Tovar Allen
288       8178                 Tremayne Allen
289       2570                     Will Allen
290       5636                     Will Allen
291      16674                     Zach Allen
292    3915282                     Zach Allen
293    3118835                Larry Allen Jr.
294    3126478          Bryson Allen-Williams
295    4373626                 Tyler Allgeier
296    4683124                   Hinwa Allieu
297      10589                Aundrae Allison
298    3115913               Geronimo Allison
299    3120566                  Jalen Allison
300    4040893                   Jeff Allison
301       7554            Brian McCray Allred
302       9847                   Colin Allred
303       1194                    John Allred
304       6895                       Jeff Alm
305      15819                    Kiko Alonso
306    3056432                  Jacob Alsadek
307    3051706               Johnathan Alston
308       9663                     Jon Alston
309    2582444                 Quinton Alston
310       5345                 Richard Alston
311        925                   Mike Alstott
312       6925                       John Alt
313      13233                   Tyson Alualu
314    3911982               Auzoyah Alufohai
315      13526               Delbert Alvarado
316    3886834                      Ugo Amadi
317       5764                   Eugene Amano
318      16792                     Jace Amaro
319       5348                      Ken Amato
320      13527                 Jonathon Amaya
321        299                 Ashley Ambrose
322      14682                Damario Ambrose
323      11674                 Danny Amendola
324      15820                  David Amerson
325       9275                      Otis Amey
326       8246                     Vince Amey
327    2980036                   Kofi Amichia
328    3919602                 Matt Ammendola
329    2582132                    Adrian Amos
330      16508                   Anthony Amos
331    4049429                  D'Angelo Amos
332    2971986                   DaShaun Amos
333      16509                 Jonathan Amosa
334      13975               Prince Amukamara
335    4035660                   Bradlee Anae
336    3119465                   Siupeli Anau
337    4035478           Tremayne Anchrum Jr.
338        116                  Kimble Anders
339         11                Morten Andersen
340    4247807                  Troy Andersen
341    3119119              Abdullah Anderson
342    4367203                  Alec Anderson
343      13930                Andre' Anderson
344       8136               Antonio Anderson
345       2877                Bennie Anderson
346      12954               Brandon Anderson
347    3930901                 Bruce Anderson
348      16040                  C.J. Anderson
349    3123867                Calvin Anderson
350    3120376                  Chad Anderson
351       5725               Charlie Anderson
352      16126                 Colin Anderson
353      12757                  Colt Anderson
354       5770              Courtney Anderson
355       8194                Curtis Anderson
356       4367                Damien Anderson
357    4038533                Darius Anderson
358       7340                Darren Anderson
359       9837                 David Anderson
360    2587709              Demetris Anderson
361      10638                  Deon Anderson
362       8627                 Derek Anderson
363    2514542                  Dres Anderson
364    4040826                  Drew Anderson
365       7794               Dunstan Anderson
366       5879                Dwight Anderson
367       6622                 Eddie Anderson
368       7441           Erick Scott Anderson
369       6506               Flipper Anderson
370         21                  Gary Anderson
371       6466                  Gary Anderson
372    2517752                 Henry Anderson
373    4241844                  Jack Anderson
374      16612               Jackson Anderson
375      15206                  Jake Anderson
376      11116                Jamaal Anderson
377        656                 Jamal Anderson
378       9674                 James Anderson
379       5788                 Jason Anderson
380       6682                 Jesse Anderson
381      15659                   Joe Anderson
382    2478555                   Joe Anderson
383    2514468              Jonathan Anderson
384      14992                Justin Anderson
385      17103                Justin Anderson
386      15211              Kadarron Anderson
387    2577120                 Kevin Anderson
388    3063943                Kiante Anderson
389       9745                  Mark Anderson
390       3620               Marques Anderson
391       2320                  Mike Anderson
392       6402                  Neal Anderson
393    4243543                  Otis Anderson
394      15436               Quintin Anderson
395       2154               Rashard Anderson
396    3998263               Rashard Anderson
397      17104              Ri'Shard Anderson
398        458                Richie Anderson
399    2574808                Robbie Anderson
400    3705353                Rodney Anderson
401       8225                Ronnie Anderson
402    2577661                  Rory Anderson
403    4256702                  Rory Anderson
404    2976495                  Ryan Anderson
405    3124111                  Ryan Anderson
406    4259327                  Ryan Anderson
407    4242430                 Ryder Anderson
408       2697                Scotty Anderson
409    3998264                Scotty Anderson
410    2576854               Stephen Anderson
411       7593                Stevie Anderson
412       5599                   Tim Anderson
413      15144                  Todd Anderson
414    4257240                 Tycen Anderson
415      13089                 Vince Anderson
416        966                Willie Anderson
417    2974300                 Zaire Anderson
418    3932335                 Zayne Anderson
419      17105                Antonio Andrews
420    3047553                 Darren Andrews
421    2578529                  David Andrews
422      16963                   Josh Andrews
423    3116365                   Mark Andrews
424       5541                  Shawn Andrews
425       5648                  Stacy Andrews
426       9815                 Willie Andrews
427    4240733                 Blaise Andries
428    2980432                   Roman Andrus
429      10269                   Shane Andrus
430       1329                   Joe Andruzzi
431    4240263                   David Anenih
432    4035703                  Cary Angeline
433      14950                    Bryan Anger
434      13258                    Pat Angerer
435    3914143               Christian Angulo
436       4712                 Richard Angulo
437    3128308                Jesse Aniebonam
438    3008150                      Eli Ankou
439    3049326                  Andrew Ankrah
440      17368                   Jason Ankrah
441      16964                    Blake Annen
442       7074                       Sam Anno
443      15785                  Ezekiel Ansah
444    4035453                  Andre Anthony
445       4380              Cornelius Anthony
446      17476                   Deon Anthony
447      15931                   Marc Anthony
448       1178                 Reidel Anthony
449    3998266                 Reidel Anthony
450    2576482               Stephone Anthony
451    2977751                  Danny Anthrop
452    4360672                 Israel Antwine
453      16965                  Kenny Anunike
454      15399                 Chigbo Anunoby
455    2517537                   Boris Anyama
456    3043107                  Alex Anzalone
457    3116152                      Troy Apke
458    3040506                      Eli Apple
459    3121518              Marcus Applefield
460      10862              Antwan Applewhite
461       1159                     Leo Araguz
462    4361496                    Matt Araiza
463       6683               Charles Arbuckle
464    3931397          J.J. Arcega-Whiteside
465      13954             Emmanuel Arceneaux
466        251              Lester Archambeau
467      11158                 Brandon Archer
468      16755                     Dri Archer
469      13309                    R.J. Archer
470    4044146               Daniel Archibong
471       8071                    Mike Archie
472       2568                 Adam Archuleta
473    4046707                      AJ Arcuri
474    3116592                     Kareem Are
475      13259                  Javier Arenas
476       2796                    Jake Arians
477    2511087                Chi Chi Ariguzo
478    2530979                    Ike Ariguzo
479      14119                    David Arkin
480    4212884                     Alex Armah
481    2579598            Thurston Armbrister
482    3998267                 Jo Juan Armour
483       1977                  JoJuan Armour
484        771                  Justin Armour
485    4372017             Jalyn Armour-Davis
486    2971275                  Arik Armstead
487      15764                Armond Armstead
488        492                Jessie Armstead
489    3923397               Ryquell Armstead
490      15821                Terron Armstead
491      11946              Anthony Armstrong
492       7945              Antonio Armstrong
493        226                Bruce Armstrong
494       8625               Calvin Armstrong
495    3123963              Cornell Armstrong
